epochs,current_epochs,test_id,mode,chunk_gap,n_split_client,n_split_vnf0,n_split_vnf1,n_split_vnf2,n_split_server,n_combiner_client,n_combiner_vnf0,n_combiner_vnf1,n_combiner_vnf2,n_combiner_server,transmision_time,service_time
50,1,1,1,0.002,2,1,1,1,1,1,1,1,1,1,2.826,2.8698
50,2,1,1,0.002,2,1,1,1,1,1,1,1,1,1,2.842,2.8435
50,3,1,1,0.002,2,1,1,1,1,1,1,1,1,1,2.793,2.7941
50,4,1,1,0.002,2,1,1,1,1,1,1,1,1,1,2.791,2.7925
50,5,1,1,0.002,2,1,1,1,1,1,1,1,1,1,2.697,2.6981
50,6,1,1,0.002,2,1,1,1,1,1,1,1,1,1,2.801,2.8021
50,7,1,1,0.002,2,1,1,1,1,1,1,1,1,1,2.873,2.8739
50,8,1,1,0.002,2,1,1,1,1,1,1,1,1,1,2.817,2.8187
50,9,1,1,0.002,2,1,1,1,1,1,1,1,1,1,2.781,2.782
50,10,1,1,0.002,2,1,1,1,1,1,1,1,1,1,2.791,2.7935
50,11,1,1,0.002,2,1,1,1,1,1,1,1,1,1,2.785,2.7867
50,12,1,1,0.002,2,1,1,1,1,1,1,1,1,1,2.811,2.8131
50,13,1,1,0.002,2,1,1,1,1,1,1,1,1,1,2.787,2.7886
50,14,1,1,0.002,2,1,1,1,1,1,1,1,1,1,2.78,2.7811
50,15,1,1,0.002,2,1,1,1,1,1,1,1,1,1,2.79,2.7913
50,16,1,1,0.002,2,1,1,1,1,1,1,1,1,1,2.894,2.8953
50,17,1,1,0.002,2,1,1,1,1,1,1,1,1,1,2.791,2.7934
50,18,1,1,0.002,2,1,1,1,1,1,1,1,1,1,2.793,2.794
50,19,1,1,0.002,2,1,1,1,1,1,1,1,1,1,2.789,2.7898
50,20,1,1,0.002,2,1,1,1,1,1,1,1,1,1,2.805,2.806
50,21,1,1,0.002,2,1,1,1,1,1,1,1,1,1,2.79,2.7915
50,22,1,1,0.002,2,1,1,1,1,1,1,1,1,1,2.792,2.7931
50,23,1,1,0.002,2,1,1,1,1,1,1,1,1,1,2.79,2.7911
50,24,1,1,0.002,2,1,1,1,1,1,1,1,1,1,2.79,2.7917
50,25,1,1,0.002,2,1,1,1,1,1,1,1,1,1,2.791,2.7919
50,26,1,1,0.002,2,1,1,1,1,1,1,1,1,1,2.789,2.7908
