mode,test id,chunk gap,epochs current,epochs,n_split_server,n_combiner_server,used chunk num,used data length,used data shape,cache time,processing time
1,2,0.002,1,50,1,1,768,1,"[0.0003255208333333333, 3072]",1.702,0.009
1,2,0.002,1,50,1,1,0,16384,"[64.0, 256]",0.0,0.001
1,2,0.002,1,50,1,1,0,4096,"[64.0, 64]",0.0,0.07
1,2,0.002,2,50,1,1,768,1,"[0.0003255208333333333, 3072]",1.622,0.006
1,2,0.002,2,50,1,1,0,16384,"[64.0, 256]",0.0,0.07
1,2,0.002,2,50,1,1,0,4096,"[64.0, 64]",0.0,0.001
1,2,0.002,3,50,1,1,768,1,"[0.0003255208333333333, 3072]",1.605,0.078
1,2,0.002,3,50,1,1,0,16384,"[64.0, 256]",0.0,0.001
1,2,0.002,3,50,1,1,0,4096,"[64.0, 64]",0.0,0.001
1,2,0.002,4,50,1,1,768,1,"[0.0003255208333333333, 3072]",1.626,0.079
1,2,0.002,4,50,1,1,0,16384,"[64.0, 256]",0.0,0.001
1,2,0.002,4,50,1,1,0,4096,"[64.0, 64]",0.0,0.001
1,2,0.002,5,50,1,1,768,1,"[0.0003255208333333333, 3072]",1.608,0.007
1,2,0.002,5,50,1,1,0,16384,"[64.0, 256]",0.0,0.001
1,2,0.002,5,50,1,1,0,4096,"[64.0, 64]",0.0,0.001
1,2,0.002,6,50,1,1,768,1,"[0.0003255208333333333, 3072]",1.637,0.007
1,2,0.002,6,50,1,1,0,16384,"[64.0, 256]",0.0,0.071
1,2,0.002,6,50,1,1,0,4096,"[64.0, 64]",0.0,0.001
1,2,0.002,7,50,1,1,768,1,"[0.0003255208333333333, 3072]",1.621,0.007
1,2,0.002,7,50,1,1,0,16384,"[64.0, 256]",0.0,0.001
1,2,0.002,7,50,1,1,0,4096,"[64.0, 64]",0.0,0.001
1,2,0.002,8,50,1,1,768,1,"[0.0003255208333333333, 3072]",1.663,0.017
1,2,0.002,8,50,1,1,0,16384,"[64.0, 256]",0.0,0.001
1,2,0.002,8,50,1,1,0,4096,"[64.0, 64]",0.0,0.001
1,2,0.002,9,50,1,1,768,1,"[0.0003255208333333333, 3072]",1.654,0.006
1,2,0.002,9,50,1,1,0,16384,"[64.0, 256]",0.0,0.001
1,2,0.002,9,50,1,1,0,4096,"[64.0, 64]",0.0,0.001
1,2,0.002,10,50,1,1,768,1,"[0.0003255208333333333, 3072]",1.625,0.077
1,2,0.002,10,50,1,1,0,16384,"[64.0, 256]",0.0,0.001
1,2,0.002,10,50,1,1,0,4096,"[64.0, 64]",0.0,0.001
