mode,test id,chunk gap,epochs current,epochs,n_split_vnf2,n_combiner_vnf2,used chunk num,used data length,used data shape,cache time,processing time
1,3,0.002,1,50,1,1,16,4096,"[64.0, 64]",0.031,0.012
1,3,0.002,2,50,1,1,16,4096,"[64.0, 64]",0.038,0.011
1,3,0.002,3,50,1,1,16,4096,"[64.0, 64]",0.031,0.02
1,3,0.002,4,50,1,1,16,4096,"[64.0, 64]",0.031,0.012
1,3,0.002,5,50,1,1,16,4096,"[64.0, 64]",0.032,0.011
1,3,0.002,6,50,1,1,16,4096,"[64.0, 64]",0.031,0.012
1,3,0.002,7,50,1,1,16,4096,"[64.0, 64]",0.049,0.013
1,3,0.002,8,50,1,1,16,4096,"[64.0, 64]",0.031,0.012
1,3,0.002,9,50,1,1,16,4096,"[64.0, 64]",0.031,0.012
1,3,0.002,10,50,1,1,16,4096,"[64.0, 64]",0.031,0.012
1,3,0.002,11,50,1,1,16,4096,"[64.0, 64]",0.036,0.012
1,3,0.002,12,50,1,1,16,4096,"[64.0, 64]",0.031,0.012
1,3,0.002,13,50,1,1,16,4096,"[64.0, 64]",0.031,0.011
1,3,0.002,14,50,1,1,16,4096,"[64.0, 64]",0.033,0.012
1,3,0.002,15,50,1,1,16,4096,"[64.0, 64]",0.032,0.012
1,3,0.002,16,50,1,1,16,4096,"[64.0, 64]",0.031,0.012
1,3,0.002,17,50,1,1,16,4096,"[64.0, 64]",0.031,0.012
1,3,0.002,18,50,1,1,16,4096,"[64.0, 64]",0.031,0.012
1,3,0.002,19,50,1,1,16,4096,"[64.0, 64]",0.033,0.012
1,3,0.002,20,50,1,1,16,4096,"[64.0, 64]",0.031,0.012
1,3,0.002,21,50,1,1,16,4096,"[64.0, 64]",0.031,0.012
1,3,0.002,22,50,1,1,16,4096,"[64.0, 64]",0.031,0.012
1,3,0.002,23,50,1,1,16,4096,"[64.0, 64]",0.031,0.012
1,3,0.002,24,50,1,1,16,4096,"[64.0, 64]",0.031,0.011
1,3,0.002,25,50,1,1,16,4096,"[64.0, 64]",0.031,0.012
1,3,0.002,26,50,1,1,16,4096,"[64.0, 64]",0.031,0.012
1,3,0.002,27,50,1,1,16,4096,"[64.0, 64]",0.031,0.012
1,3,0.002,28,50,1,1,16,4096,"[64.0, 64]",0.031,0.012
1,3,0.002,29,50,1,1,16,4096,"[64.0, 64]",0.037,0.021
1,3,0.002,30,50,1,1,16,4096,"[64.0, 64]",0.031,0.013
1,3,0.002,31,50,1,1,16,4096,"[64.0, 64]",0.037,0.021
1,3,0.002,32,50,1,1,16,4096,"[64.0, 64]",0.031,0.011
1,3,0.002,33,50,1,1,16,4096,"[64.0, 64]",0.031,0.012
1,3,0.002,34,50,1,1,16,4096,"[64.0, 64]",0.031,0.012
1,3,0.002,35,50,1,1,16,4096,"[64.0, 64]",0.031,0.014
1,3,0.002,36,50,1,1,16,4096,"[64.0, 64]",0.031,0.012
1,3,0.002,37,50,1,1,16,4096,"[64.0, 64]",0.031,0.012
1,3,0.002,38,50,1,1,16,4096,"[64.0, 64]",0.031,0.012
1,3,0.002,39,50,1,1,16,4096,"[64.0, 64]",0.031,0.012
1,3,0.002,40,50,1,1,16,4096,"[64.0, 64]",0.032,0.013
1,3,0.002,41,50,1,1,16,4096,"[64.0, 64]",0.037,0.012
1,3,0.002,42,50,1,1,16,4096,"[64.0, 64]",0.031,0.012
1,3,0.002,43,50,1,1,16,4096,"[64.0, 64]",0.031,0.012
1,3,0.002,44,50,1,1,16,4096,"[64.0, 64]",0.032,0.014
1,3,0.002,45,50,1,1,16,4096,"[64.0, 64]",0.031,0.012
1,3,0.002,46,50,1,1,16,4096,"[64.0, 64]",0.031,0.012
1,3,0.002,47,50,1,1,16,4096,"[64.0, 64]",0.033,0.012
1,3,0.002,48,50,1,1,16,4096,"[64.0, 64]",0.031,0.012
1,3,0.002,49,50,1,1,16,4096,"[64.0, 64]",0.031,0.012
1,3,0.002,50,50,1,1,16,4096,"[64.0, 64]",0.033,0.012
