mode,test id,chunk gap,epochs current,epochs,n_split_server,n_combiner_server,used chunk num,used data length,used data shape,cache time,processing time
0,1,0.002,1,50,2,1,18,4,4,0.036,0.0
0,1,0.002,2,50,2,1,18,4,4,0.036,0.0
0,1,0.002,3,50,2,1,18,4,4,0.035,0.0
0,1,0.002,4,50,2,1,18,4,4,0.036,0.0
0,1,0.002,5,50,2,1,18,4,4,0.038,0.0
0,1,0.002,6,50,2,1,18,4,4,0.036,0.0
0,1,0.002,7,50,2,1,18,4,4,0.035,0.0
0,1,0.002,8,50,2,1,18,4,4,0.036,0.0
0,1,0.002,9,50,2,1,18,4,4,0.036,0.0
0,1,0.002,10,50,2,1,18,4,4,0.037,0.0
0,1,0.002,11,50,2,1,18,4,4,0.035,0.0
0,1,0.002,12,50,2,1,18,4,4,0.036,0.0
0,1,0.002,13,50,2,1,18,4,4,0.036,0.0
0,1,0.002,14,50,2,1,18,4,4,0.036,0.0
0,1,0.002,15,50,2,1,18,4,4,0.036,0.0
0,1,0.002,16,50,2,1,18,4,4,0.035,0.0
0,1,0.002,17,50,2,1,18,4,4,0.038,0.0
0,1,0.002,18,50,2,1,18,4,4,0.036,0.0
0,1,0.002,19,50,2,1,18,4,4,0.036,0.0
0,1,0.002,20,50,2,1,18,4,4,0.035,0.0
0,1,0.002,21,50,2,1,18,4,4,0.035,0.0
0,1,0.002,22,50,2,1,18,4,4,0.035,0.0
0,1,0.002,23,50,2,1,18,4,4,0.035,0.0
0,1,0.002,24,50,2,1,18,4,4,0.035,0.0
0,1,0.002,25,50,2,1,18,4,4,0.035,0.0
0,1,0.002,26,50,2,1,18,4,4,0.036,0.0
0,1,0.002,27,50,2,1,18,4,4,0.035,0.0
0,1,0.002,28,50,2,1,18,4,4,0.035,0.0
0,1,0.002,29,50,2,1,18,4,4,0.036,0.0
0,1,0.002,30,50,2,1,18,4,4,0.036,0.0
0,1,0.002,31,50,2,1,18,4,4,0.052,0.0
0,1,0.002,32,50,2,1,18,4,4,0.035,0.0
0,1,0.002,33,50,2,1,18,4,4,0.037,0.0
0,1,0.002,34,50,2,1,18,4,4,0.035,0.0
0,1,0.002,35,50,2,1,18,4,4,0.035,0.0
0,1,0.002,36,50,2,1,18,4,4,0.035,0.0
0,1,0.002,37,50,2,1,18,4,4,0.035,0.0
0,1,0.002,38,50,2,1,18,4,4,0.035,0.0
0,1,0.002,39,50,2,1,18,4,4,0.036,0.0
0,1,0.002,40,50,2,1,18,4,4,0.035,0.0
0,1,0.002,41,50,2,1,18,4,4,0.035,0.0
0,1,0.002,42,50,2,1,18,4,4,0.035,0.0
0,1,0.002,43,50,2,1,18,4,4,0.035,0.0
0,1,0.002,44,50,2,1,18,4,4,0.035,0.0
0,1,0.002,45,50,2,1,18,4,4,0.036,0.0
0,1,0.002,46,50,2,1,18,4,4,0.035,0.0
0,1,0.002,47,50,2,1,18,4,4,0.035,0.0
0,1,0.002,48,50,2,1,18,4,4,0.035,0.0
0,1,0.002,49,50,2,1,18,4,4,0.035,0.0
0,1,0.002,50,50,2,1,18,4,4,0.035,0.0
0,1,0.002,1,50,4,1,18,4,4,0.035,0.0
0,1,0.002,2,50,4,1,18,4,4,0.035,0.0
0,1,0.002,3,50,4,1,18,4,4,0.035,0.0
0,1,0.002,4,50,4,1,18,4,4,0.036,0.0
0,1,0.002,5,50,4,1,18,4,4,0.036,0.0
0,1,0.002,6,50,4,1,18,4,4,0.035,0.0
0,1,0.002,7,50,4,1,18,4,4,0.035,0.0
