epochs,current_epochs,test_id,mode,chunk_gap,n_split_client,n_split_vnf0,n_split_vnf1,n_split_vnf2,n_split_server,n_combiner_client,n_combiner_vnf0,n_combiner_vnf1,n_combiner_vnf2,n_combiner_server,transmision_time,service_time
50,1,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.858,3.4339
50,2,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.754,2.7858
50,3,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.768,2.7959
50,4,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.741,2.7884
50,5,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.742,2.7868
50,6,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.75,2.8009
50,7,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.815,2.8826
50,8,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.755,2.8089
50,9,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.737,2.779
50,10,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.75,2.8027
50,11,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.742,2.8024
50,12,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.74,2.7903
50,13,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.742,2.8734
50,14,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.768,2.8059
50,15,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.75,2.787
50,16,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.753,2.7955
50,17,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.748,2.7914
50,18,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.745,2.8005
50,19,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.75,2.885
50,20,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.762,2.7986
50,21,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.755,2.8113
50,22,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.748,2.7766
50,23,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.766,2.7997
50,24,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.755,2.7835
50,25,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.746,2.8847
50,26,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.759,2.8029
50,27,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.752,2.7956
50,28,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.751,2.787
50,29,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.751,2.7931
50,30,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.753,2.8197
50,31,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.794,2.8772
50,32,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.75,2.7915
50,33,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.757,2.867
50,34,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.816,2.8948
50,35,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.788,2.8972
50,36,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.762,2.796
50,37,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.746,2.7935
50,38,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.751,2.7969
50,39,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.75,2.8968
50,40,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.747,2.7922
50,41,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.742,2.7927
50,42,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.742,2.7978
50,43,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.755,2.7906
50,44,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.77,2.7965
50,45,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.749,2.7951
50,46,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.756,2.7845
50,47,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.77,2.7948
50,48,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.75,2.7952
50,49,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.744,2.7955
50,50,2,0,0.002,1,1,1,1,1,1,1,1,1,1,0.746,2.7882
