switch0-client,switch0-s1,switch1-s0,switch1-s2,switch2-s1,switch2-server
273408,68352,68352,42720,42720,18139
273408,68352,68352,42720,42720,18139
273408,68352,68352,42720,42720,18139
273408,68352,68352,42720,42720,18139
273408,68352,68352,42720,42720,18139
273408,68352,68352,42720,42720,18139
273408,68352,68352,42720,42720,18139
273408,68352,68352,42720,42720,18139
273408,68352,68352,42720,42720,18139
273408,68352,68352,42720,42720,18139
273408,68352,68352,42720,42720,18139
273408,68352,68352,42720,42720,18139
273408,68352,68352,42720,42720,18139
273408,68352,68352,42720,42720,18139
273408,68352,68352,42720,42720,18139
273408,68352,68352,42720,42720,18139
273408,68352,68352,42720,42720,18139
273408,68352,68352,42720,42720,18139
273408,68352,68352,42720,42720,18139
273408,68352,68352,42720,42720,18139
273408,68352,68352,42720,42720,18139
273408,68352,68352,42720,42720,18139
273408,68352,68352,42720,42720,18139
273408,68352,68352,42720,42720,18139
273408,68352,68352,42720,42720,18139
273408,68352,68352,42720,42720,18139
273408,68352,68352,42720,42720,18139
273408,68352,68352,42720,42720,18139
273408,68352,68352,42720,42720,18139
273408,68352,68352,42720,42720,18139
