t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15
0.010386096,0.686350928,1.2190912,0.013722872,5e-06,0.166011776,0.592678656,0.013237568,5e-06,0.104271416,0.276060928,0.012412656,0.042147088,0.070360576
0.010748712,0.765144792,0.922989056,0.012869152,5e-06,0.157355096,0.320569088,0.013224816,7e-06,0.1088318,0.082970368,0.013896832,0.043147648,0.04845056
0.011470872,0.757701608,0.907529472,0.01288192,5e-06,0.167740024,0.332513024,0.013634952,3e-06,0.103029696,0.08122112,0.013074184,0.045828088,0.056892672
0.011568504,0.7255026,1.052485888,0.013420512,3e-06,0.17084324,0.316399872,0.013090888,4e-06,0.108966936,0.083838976,0.013022088,0.046517368,0.049240064
0.011049504,0.701720032,0.896996864,0.013348104,6e-06,0.169283976,0.30451968,0.013660344,3e-06,0.103827856,0.098086144,0.012922,0.043275888,0.049609472
0.016537112,0.714276328,0.97583872,0.015564952,6e-06,0.164632568,0.323097344,0.014097088,4e-06,0.107488928,0.074573824,0.013516248,0.043042344,0.10029952
0.013860888,0.705395432,1.0602624,0.013634168,4e-06,0.168873192,0.332760832,0.013630976,4e-06,0.105237344,0.139118592,0.012730064,0.046094384,0.058569216
0.019787424,0.726426464,0.929129984,0.012211552,3e-06,0.166908648,0.31110656,0.012781792,5e-06,0.104250008,0.09085184,0.013287152,0.045767184,0.072168704
0.02361588,0.70697484,0.933484544,0.013016616,3e-06,0.173526816,0.315267584,0.0120866,3e-06,0.107738112,0.085051904,0.013482984,0.044298776,0.054937856
0.01329872,0.716514016,0.944784384,0.0137616,4e-06,0.165926688,0.324094464,0.015971848,3e-06,0.101103936,0.096022528,0.012620536,0.046044168,0.069048576
0.010354968,0.764069864,0.925380864,0.012245272,6e-06,0.1659534,0.304707072,0.013176528,5e-06,0.101911976,0.098897664,0.01356436,0.04515564,0.05170432
0.010215088,0.706171216,0.962299648,0.013531136,5e-06,0.166970232,0.32720384,0.015310928,4e-06,0.1103908,0.08028288,0.01431732,0.046021112,0.082042112
0.010462928,0.702882096,0.966245632,0.012816272,5e-06,0.156526568,0.32084224,0.012680192,4e-06,0.104988768,0.102266368,0.012608864,0.047381408,0.05339008
0.011049664,0.771642688,0.999366912,0.0137284,3e-06,0.163980216,0.313034496,0.012966288,5e-06,0.107168488,0.100509952,0.01377856,0.048364416,0.04679424
0.020902376,0.730271,0.863172352,0.013128648,4e-06,0.165574552,0.311770624,0.013147824,5e-06,0.099123144,0.093931264,0.013653592,0.046010536,0.054508032
0.013673104,0.674447984,0.984174336,0.01299368,4e-06,0.169027536,0.31978624,0.013620224,6e-06,0.108282,0.094664704,0.013342296,0.04925892,0.046567168
0.010181944,0.708563144,0.886554112,0.012338744,3e-06,0.166217232,0.305987072,0.013227696,4e-06,0.103353008,0.09111808,0.013714912,0.043779872,0.050087168
0.010054848,0.733302592,0.934269952,0.013399456,3e-06,0.170769576,0.312340224,0.0136472,3e-06,0.104367336,0.099609856,0.013634808,0.047120392,0.047083776
0.010701464,0.692965224,0.972995072,0.012786704,5e-06,0.168140136,0.322462208,0.013005656,2e-06,0.105671128,0.103456,0.012864872,0.045943448,0.049912576
0.037659784,0.689775736,0.92821376,0.012957504,5e-06,0.170501944,0.302635008,0.013661048,5e-06,0.096714496,0.096534016,0.013909488,0.046165776,0.10167552
0.013961816,0.741040552,0.912929024,0.013541424,3e-06,0.161695512,0.247012864,0.012271624,5e-06,0.105123952,0.083365632,0.014944416,0.045544288,0.048978176
0.010693984,0.711389344,0.95133824,0.013068416,5e-06,0.165182456,0.244708096,0.012709448,3e-06,0.103296768,0.082445056,0.013330176,0.04541184,0.048645376
0.01169092,0.698330968,0.961743104,0.012709928,6e-06,0.167837544,0.330848768,0.012261688,5e-06,0.100914496,0.103783424,0.01382008,0.043651408,0.04977024
0.01067512,0.699159632,2.275181312,0.013224056,5e-06,0.158243584,0.315223296,0.01366712,2e-06,0.102853632,0.095698688,0.01293968,0.047091808,0.049694208
0.01343408,0.707888928,0.87080832,0.013171752,3e-06,0.161159968,0.312723712,0.01347832,1.2e-05,0.106202992,0.09497216,0.012751848,0.045954584,0.048923904
0.044893464,0.71239524,1.036551424,0.012966336,4e-06,0.167603104,0.325956608,0.013636288,3e-06,0.106397832,0.086011136,0.015518032,0.046090928,0.056489728
0.010269992,0.672082136,0.898871808,0.013707056,4e-06,0.163531824,0.309191424,0.013097752,5e-06,0.104562272,0.104544,0.012119728,0.08867336,0.063533056
0.01368492,0.695082568,0.987017984,0.013485448,6e-06,0.168552968,0.30633344,0.013536592,4e-06,0.104254224,0.098880512,0.013303264,0.046663712,0.057308416
0.011682128,0.703802544,0.981062656,0.0128488,3e-06,0.169344424,0.315844352,0.013009224,3e-06,0.105149696,0.088051968,0.012723336,0.045824376,0.057472768
0.011771272,0.69330316,0.912212992,0.013481848,4e-06,0.167638248,0.296628224,0.013618528,6e-06,0.104476464,0.093512704,0.014613832,0.04835884,0.047354112
