t2,t3,t4,t5,t6,t7,t15
0.01425984,0.01137,3e-06,0.012028,1e-06,0.011303,1.893617432
0.015640632,0.011311,3e-06,0.011093,2.2e-05,0.011162,1.684319728
0.01073128,0.011838,2e-06,0.011042,1e-06,0.011616,1.665348664
0.017573056,0.011648,3e-06,0.011619,2e-06,0.011017,1.69664252
0.011435056,0.011782,5e-06,0.011563,2e-06,0.012285,1.6445506
0.010246392,0.011899,3e-06,0.014889,3e-06,0.011295,1.709082592
0.010565192,0.011815,4e-06,0.01164,4e-06,0.01226,1.726324416
0.01869888,0.011553,2e-06,0.011048,3e-06,0.011726,1.632998432
0.0107234,0.011889,4e-06,0.013968,1e-06,0.011716,1.736404904
0.02240836,0.011779,2e-06,0.011162,3e-06,0.011095,1.657833136
0.013730712,0.011238,2e-06,0.019371,2e-06,0.011125,1.624624728
0.012831968,0.012491,2e-06,0.011382,1e-06,0.010981,1.682435576
0.018418992,0.012708,3e-06,0.011325,3e-06,0.01111,1.607075848
0.01134388,0.011603,2e-06,0.01638,2e-06,0.022991,1.587385384
0.010747352,0.011195,2e-06,0.011159,2e-06,0.010962,1.716948968
0.0390052,0.011226,2e-06,0.011023,2e-06,0.012081,1.657859008
0.012719352,0.011781,2e-06,0.011764,2e-06,0.013427,1.624590472
0.013494768,0.012866,2e-06,0.011478,1e-06,0.012544,1.645763224
0.012693456,0.011097,2e-06,0.011287,2e-06,0.012559,1.597268088
0.02037664,0.01193,4e-06,0.012067,3e-06,0.01238,1.692430272
0.01078488,0.011247,3e-06,0.011251,3e-06,0.0114,1.632399376
0.01467984,0.011157,5e-06,0.011646,3e-06,0.011687,1.716548624
0.01077628,0.011263,2e-06,0.011092,3e-06,0.011076,1.717232072
0.011055016,0.01133,2.8e-05,0.017627,1e-06,0.011981,1.686301696
0.012709888,0.011396,4e-06,0.011194,2e-06,0.011082,1.695883856
0.011814888,0.011847,3e-06,0.011206,2e-06,0.011649,1.750096864
0.016600136,0.01441,3e-06,0.011499,2e-06,0.011212,1.727139912
0.010206128,0.011538,5e-06,0.011255,2e-06,0.012055,1.737485304
0.013133112,0.011563,4e-06,0.011451,1.5e-05,0.011571,1.605268968
0.010884544,0.011375,3e-06,0.011319,2e-06,0.011233,1.704381792
