t0,t1
1718911182.2984893,0
1718911188.1152596,0
1718911194.0161211,0
1718911199.9223623,0
1718911205.715174,0
1718911211.6151614,0
1718911217.6672804,0
1718911223.5138853,0
1718911229.4107318,0
1718911235.211847,0
1718911241.1124327,0
1718911246.9195142,0
1718911252.8161454,0
1718911258.7185245,0
1718911264.5152335,0
1718911270.316594,0
1718911276.0203998,0
1718911281.8192914,0
1718911287.6194644,0
1718911293.5143478,0
1718911299.3232763,0
1718911305.0156198,0
1718911310.8263533,0
1718911317.9104555,0
1718911323.6132836,0
1718911329.532765,0
1718911335.3675997,0
1718911341.2224836,0
1718911347.1177013,0
1718911352.9187238,0
