t0,t1
1718910044.5619748,1718910046.8831346
1718910050.2423234,1718910052.1828594
1718910055.5511656,1718910057.4452174
1718910060.7587159,1718910062.5996904
1718910065.9663777,1718910067.8896031
1718910071.2398293,1718910073.132391
1718910076.4595304,1718910078.403779
1718910081.8365993,1718910083.8180985
1718910087.1574676,1718910088.9966743
1718910092.3669722,1718910094.2855148
1718910097.571496,1718910099.5510435
1718910102.8653286,1718910104.6943834
1718910108.0599582,1718910109.882597
1718910113.2616665,1718910115.167829
1718910118.4659936,1718910120.341968
1718910123.6696012,1718910125.4984002
1718910128.968599,1718910130.890238
1718910134.3085253,1718910136.176443
1718910139.6568007,1718910141.6566317
1718910145.1266925,1718910147.013931
1718910150.3586423,1718910152.192457
1718910155.5406477,1718910157.509317
1718910160.856561,1718910162.7020404
1718910166.0539112,1718910168.0328197
1718910171.3622901,1718910173.253879
1718910176.6540039,1718910178.590948
1718910182.071433,1718910183.9775286
1718910187.464298,1718910189.331467
1718910192.6538956,1718910194.5052893
1718910197.8712795,1718910199.7781973
