mode,test id,chunk gap,epochs current,epochs,n_split_server,n_combiner_server,used chunk num,used data length,used data shape,cache time,processing time
0,3,0.002,1,30,1,1,18,4,4,0.092,0.0
0,3,0.002,2,30,1,1,18,4,4,0.047,0.0
0,3,0.002,3,30,1,1,18,4,4,0.065,0.0
0,3,0.002,4,30,1,1,18,4,4,0.047,0.0
0,3,0.002,5,30,1,1,18,4,4,0.047,0.0
0,3,0.002,6,30,1,1,18,4,4,0.043,0.0
0,3,0.002,7,30,1,1,18,4,4,0.058,0.0
0,3,0.002,8,30,1,1,18,4,4,0.142,0.0
0,3,0.002,9,30,1,1,18,4,4,0.048,0.0
0,3,0.002,10,30,1,1,18,4,4,0.045,0.0
0,3,0.002,11,30,1,1,18,4,4,0.096,0.0
0,3,0.002,12,30,1,1,18,4,4,0.045,0.0
0,3,0.002,13,30,1,1,18,4,4,0.045,0.0
0,3,0.002,14,30,1,1,18,4,4,0.042,0.0
0,3,0.002,15,30,1,1,18,4,4,0.069,0.0
0,3,0.002,16,30,1,1,18,4,4,0.04,0.0
0,3,0.002,17,30,1,1,18,4,4,0.051,0.0
0,3,0.002,18,30,1,1,18,4,4,0.046,0.0
0,3,0.002,19,30,1,1,18,4,4,0.08,0.0
0,3,0.002,20,30,1,1,18,4,4,0.047,0.0
0,3,0.002,21,30,1,1,18,4,4,0.049,0.0
0,3,0.002,22,30,1,1,18,4,4,0.048,0.0
0,3,0.002,23,30,1,1,18,4,4,0.048,0.0
0,3,0.002,24,30,1,1,18,4,4,0.048,0.0
0,3,0.002,25,30,1,1,18,4,4,0.101,0.0
0,3,0.002,26,30,1,1,18,4,4,0.043,0.0
0,3,0.002,27,30,1,1,18,4,4,0.047,0.0
0,3,0.002,28,30,1,1,18,4,4,0.075,0.0
0,3,0.002,29,30,1,1,18,4,4,0.046,0.0
0,3,0.002,30,30,1,1,18,4,4,0.045,0.0
0,3,0.002,1,10,1,1,18,4,4,0.058,0.0
0,3,0.002,2,10,1,1,18,4,4,0.05,0.0
0,3,0.002,3,10,1,1,18,4,4,0.05,0.0
0,3,0.002,4,10,1,1,18,4,4,0.08,0.0
0,3,0.002,5,10,1,1,18,4,4,0.046,0.0
0,3,0.002,6,10,1,1,18,4,4,0.043,0.0
0,3,0.002,7,10,1,1,18,4,4,0.047,0.0
0,3,0.002,8,10,1,1,18,4,4,0.047,0.0
0,3,0.002,9,10,1,1,18,4,4,0.044,0.0
0,3,0.002,10,10,1,1,18,4,4,0.046,0.0
0,3,0.003,1,10,1,1,18,4,4,0.064,0.0
0,3,0.003,2,10,1,1,18,4,4,0.065,0.0
0,3,0.003,3,10,1,1,18,4,4,0.063,0.0
0,3,0.003,4,10,1,1,18,4,4,0.024,0.0
0,3,0.003,5,10,1,1,18,4,4,0.065,0.0
0,3,0.003,6,10,1,1,18,4,4,0.063,0.0
0,3,0.003,7,10,1,1,18,4,4,0.063,0.0
0,3,0.003,8,10,1,1,18,4,4,0.063,0.0
0,3,0.003,9,10,1,1,18,4,4,0.064,0.0
0,3,0.003,10,10,1,1,18,4,4,0.063,0.0
0,3,0.004,1,10,1,1,18,4,4,0.08,0.0
0,3,0.004,2,10,1,1,18,4,4,0.076,0.0
0,3,0.004,3,10,1,1,18,4,4,0.08,0.0
0,3,0.004,4,10,1,1,18,4,4,0.082,0.0
0,3,0.004,5,10,1,1,18,4,4,0.08,0.0
0,3,0.004,6,10,1,1,18,4,4,0.076,0.0
0,3,0.004,7,10,1,1,18,4,4,0.078,0.0
0,3,0.004,8,10,1,1,18,4,4,0.078,0.0
0,3,0.004,9,10,1,1,18,4,4,0.081,0.0
0,3,0.004,10,10,1,1,18,4,4,0.078,0.0
0,3,0.005,1,10,1,1,18,4,4,0.097,0.0
0,3,0.005,2,10,1,1,18,4,4,0.093,0.0
0,3,0.005,3,10,1,1,18,4,4,0.096,0.0
0,3,0.005,4,10,1,1,18,4,4,0.097,0.0
0,3,0.005,5,10,1,1,18,4,4,0.095,0.0
0,3,0.005,6,10,1,1,18,4,4,0.095,0.0
0,3,0.005,7,10,1,1,18,4,4,0.095,0.0
0,3,0.005,8,10,1,1,18,4,4,0.096,0.0
