epochs,current_epochs,test_id,mode,chunk_gap,n_split_client,n_split_vnf0,n_split_vnf1,n_split_vnf2,n_split_server,n_combiner_client,n_combiner_vnf0,n_combiner_vnf1,n_combiner_vnf2,n_combiner_server,transmision_time,service_time
30,1,3,0,0.002,1,1,1,1,1,1,1,1,1,1,2.604,2.6041
30,2,3,0,0.002,1,1,1,1,1,1,1,1,1,1,2.272,2.2724
30,3,3,0,0.002,1,1,1,1,1,1,1,1,1,1,2.225,2.2253
30,4,3,0,0.002,1,1,1,1,1,1,1,1,1,1,2.13,2.1297
30,5,3,0,0.002,1,1,1,1,1,1,1,1,1,1,2.256,2.2564
30,6,3,0,0.002,1,1,1,1,1,1,1,1,1,1,2.215,2.2155
30,7,3,0,0.002,1,1,1,1,1,1,1,1,1,1,2.245,2.2449
30,8,3,0,0.002,1,1,1,1,1,1,1,1,1,1,2.387,2.3874
30,9,3,0,0.002,1,1,1,1,1,1,1,1,1,1,2.151,2.1555
30,10,3,0,0.002,1,1,1,1,1,1,1,1,1,1,2.242,2.2417
30,11,3,0,0.002,1,1,1,1,1,1,1,1,1,1,2.235,2.2401
30,12,3,0,0.002,1,1,1,1,1,1,1,1,1,1,2.099,2.1101
30,13,3,0,0.002,1,1,1,1,1,1,1,1,1,1,2.129,2.129
30,14,3,0,0.002,1,1,1,1,1,1,1,1,1,1,2.225,2.2252
30,15,3,0,0.002,1,1,1,1,1,1,1,1,1,1,2.149,2.1485
30,16,3,0,0.002,1,1,1,1,1,1,1,1,1,1,2.116,2.1323
30,17,3,0,0.002,1,1,1,1,1,1,1,1,1,1,2.342,2.3426
30,18,3,0,0.002,1,1,1,1,1,1,1,1,1,1,2.255,2.2551
30,19,3,0,0.002,1,1,1,1,1,1,1,1,1,1,2.386,2.4007
30,20,3,0,0.002,1,1,1,1,1,1,1,1,1,1,2.292,2.2923
30,21,3,0,0.002,1,1,1,1,1,1,1,1,1,1,2.149,2.1495
30,22,3,0,0.002,1,1,1,1,1,1,1,1,1,1,2.271,2.2915
30,23,3,0,0.002,1,1,1,1,1,1,1,1,1,1,2.153,2.1532
30,24,3,0,0.002,1,1,1,1,1,1,1,1,1,1,2.262,2.3027
30,25,3,0,0.002,1,1,1,1,1,1,1,1,1,1,2.191,2.1906
30,26,3,0,0.002,1,1,1,1,1,1,1,1,1,1,2.248,2.2611
30,27,3,0,0.002,1,1,1,1,1,1,1,1,1,1,2.344,2.3441
30,28,3,0,0.002,1,1,1,1,1,1,1,1,1,1,2.281,2.2815
30,29,3,0,0.002,1,1,1,1,1,1,1,1,1,1,2.143,2.1476
30,30,3,0,0.002,1,1,1,1,1,1,1,1,1,1,2.186,2.1863
10,1,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.154,3.195
10,2,3,0,0.002,1,1,1,1,1,1,1,1,1,1,4.117,4.1172
10,3,3,0,0.002,1,1,1,1,1,1,1,1,1,1,2.867,2.8683
10,4,3,0,0.002,1,1,1,1,1,1,1,1,1,1,4.906,4.9161
10,5,3,0,0.002,1,1,1,1,1,1,1,1,1,1,2.405,2.4455
10,6,3,0,0.002,1,1,1,1,1,1,1,1,1,1,2.251,2.2512
10,7,3,0,0.002,1,1,1,1,1,1,1,1,1,1,2.162,2.1622
10,8,3,0,0.002,1,1,1,1,1,1,1,1,1,1,2.16,2.1605
10,9,3,0,0.002,1,1,1,1,1,1,1,1,1,1,2.238,2.2382
10,10,3,0,0.002,1,1,1,1,1,1,1,1,1,1,2.182,2.1815
10,1,3,0,0.003,1,1,1,1,1,1,1,1,1,1,2.532,2.5317
10,2,3,0,0.003,1,1,1,1,1,1,1,1,1,1,2.67,2.6891
10,3,3,0,0.003,1,1,1,1,1,1,1,1,1,1,2.83,2.8328
10,4,3,0,0.003,1,1,1,1,1,1,1,1,1,1,2.663,2.665
10,5,3,0,0.003,1,1,1,1,1,1,1,1,1,1,2.596,2.6001
10,6,3,0,0.003,1,1,1,1,1,1,1,1,1,1,2.555,2.5553
10,7,3,0,0.003,1,1,1,1,1,1,1,1,1,1,2.524,2.5245
10,8,3,0,0.003,1,1,1,1,1,1,1,1,1,1,2.483,2.5056
10,9,3,0,0.003,1,1,1,1,1,1,1,1,1,1,2.434,2.434
10,10,3,0,0.003,1,1,1,1,1,1,1,1,1,1,2.466,2.4761
10,1,3,0,0.004,1,1,1,1,1,1,1,1,1,1,2.925,2.9271
10,2,3,0,0.004,1,1,1,1,1,1,1,1,1,1,2.874,2.8849
10,3,3,0,0.004,1,1,1,1,1,1,1,1,1,1,2.79,2.7902
10,4,3,0,0.004,1,1,1,1,1,1,1,1,1,1,2.719,2.7191
10,5,3,0,0.004,1,1,1,1,1,1,1,1,1,1,2.869,2.8695
10,6,3,0,0.004,1,1,1,1,1,1,1,1,1,1,2.785,2.7853
10,7,3,0,0.004,1,1,1,1,1,1,1,1,1,1,2.784,2.7841
10,8,3,0,0.004,1,1,1,1,1,1,1,1,1,1,2.779,2.7785
10,9,3,0,0.004,1,1,1,1,1,1,1,1,1,1,2.638,2.6406
10,10,3,0,0.004,1,1,1,1,1,1,1,1,1,1,2.888,2.8981
10,1,3,0,0.005,1,1,1,1,1,1,1,1,1,1,3.163,3.1656
10,2,3,0,0.005,1,1,1,1,1,1,1,1,1,1,3.095,3.1064
10,3,3,0,0.005,1,1,1,1,1,1,1,1,1,1,2.942,2.9419
10,4,3,0,0.005,1,1,1,1,1,1,1,1,1,1,2.957,2.9709
10,5,3,0,0.005,1,1,1,1,1,1,1,1,1,1,3.148,3.1477
10,6,3,0,0.005,1,1,1,1,1,1,1,1,1,1,3.052,3.0521
10,7,3,0,0.005,1,1,1,1,1,1,1,1,1,1,3.16,3.1602
10,8,3,0,0.005,1,1,1,1,1,1,1,1,1,1,2.962,2.9624
10,9,3,0,0.005,1,1,1,1,1,1,1,1,1,1,2.961,2.9625
10,10,3,0,0.005,1,1,1,1,1,1,1,1,1,1,2.965,2.9646
10,1,3,0,0.006,1,1,1,1,1,1,1,1,1,1,3.296,3.2964
10,2,3,0,0.006,1,1,1,1,1,1,1,1,1,1,3.276,3.2765
10,3,3,0,0.006,1,1,1,1,1,1,1,1,1,1,3.373,3.3767
10,4,3,0,0.006,1,1,1,1,1,1,1,1,1,1,3.283,3.2833
10,5,3,0,0.006,1,1,1,1,1,1,1,1,1,1,3.415,3.415
10,6,3,0,0.006,1,1,1,1,1,1,1,1,1,1,3.499,3.499
10,7,3,0,0.006,1,1,1,1,1,1,1,1,1,1,3.563,3.5627
10,8,3,0,0.006,1,1,1,1,1,1,1,1,1,1,3.455,3.4554
10,9,3,0,0.006,1,1,1,1,1,1,1,1,1,1,3.423,3.429
10,10,3,0,0.006,1,1,1,1,1,1,1,1,1,1,3.276,3.2761
10,1,3,0,0.007,1,1,1,1,1,1,1,1,1,1,3.579,3.5787
10,2,3,0,0.007,1,1,1,1,1,1,1,1,1,1,3.951,3.9515
10,3,3,0,0.007,1,1,1,1,1,1,1,1,1,1,3.599,3.5988
10,4,3,0,0.007,1,1,1,1,1,1,1,1,1,1,3.652,3.6518
10,5,3,0,0.007,1,1,1,1,1,1,1,1,1,1,3.569,3.5693
10,6,3,0,0.007,1,1,1,1,1,1,1,1,1,1,3.556,3.556
10,7,3,0,0.007,1,1,1,1,1,1,1,1,1,1,3.753,3.7576
10,8,3,0,0.007,1,1,1,1,1,1,1,1,1,1,3.614,3.6136
10,9,3,0,0.007,1,1,1,1,1,1,1,1,1,1,3.681,3.6919
10,10,3,0,0.007,1,1,1,1,1,1,1,1,1,1,3.701,3.7015
10,1,3,0,0.008,1,1,1,1,1,1,1,1,1,1,4.078,4.0777
10,2,3,0,0.008,1,1,1,1,1,1,1,1,1,1,3.95,3.9502
10,3,3,0,0.008,1,1,1,1,1,1,1,1,1,1,4.06,4.0601
10,4,3,0,0.008,1,1,1,1,1,1,1,1,1,1,3.998,3.9993
10,5,3,0,0.008,1,1,1,1,1,1,1,1,1,1,3.982,3.9815
10,6,3,0,0.008,1,1,1,1,1,1,1,1,1,1,4.16,4.1602
10,7,3,0,0.008,1,1,1,1,1,1,1,1,1,1,4.175,4.1755
10,8,3,0,0.008,1,1,1,1,1,1,1,1,1,1,4.074,4.0742
10,9,3,0,0.008,1,1,1,1,1,1,1,1,1,1,4.024,4.0237
10,10,3,0,0.008,1,1,1,1,1,1,1,1,1,1,4.271,4.2714
10,1,3,0,0.009,1,1,1,1,1,1,1,1,1,1,4.138,4.1381
10,2,3,0,0.009,1,1,1,1,1,1,1,1,1,1,4.244,4.2444
10,3,3,0,0.009,1,1,1,1,1,1,1,1,1,1,4.255,4.2581
10,4,3,0,0.009,1,1,1,1,1,1,1,1,1,1,4.151,4.1545
10,5,3,0,0.009,1,1,1,1,1,1,1,1,1,1,4.163,4.1627
10,6,3,0,0.009,1,1,1,1,1,1,1,1,1,1,4.256,4.2558
10,7,3,0,0.009,1,1,1,1,1,1,1,1,1,1,4.176,4.1765
10,8,3,0,0.009,1,1,1,1,1,1,1,1,1,1,4.336,4.3362
10,9,3,0,0.009,1,1,1,1,1,1,1,1,1,1,4.268,4.2675
10,10,3,0,0.009,1,1,1,1,1,1,1,1,1,1,5.043,5.0541
10,1,3,0,0.01,1,1,1,1,1,1,1,1,1,1,5.063,5.063
10,2,3,0,0.01,1,1,1,1,1,1,1,1,1,1,4.601,4.6022
10,3,3,0,0.01,1,1,1,1,1,1,1,1,1,1,4.468,4.4687
10,4,3,0,0.01,1,1,1,1,1,1,1,1,1,1,4.501,4.5007
10,5,3,0,0.01,1,1,1,1,1,1,1,1,1,1,4.508,4.508
10,6,3,0,0.01,1,1,1,1,1,1,1,1,1,1,4.474,4.4736
10,7,3,0,0.01,1,1,1,1,1,1,1,1,1,1,4.678,4.678
